Wavelength_nm	 Transmittance
215.55	 -41.815838507
215.89	 -31.0476044754
216.24	 -21.3846313664
216.58	 -13.3279379263
216.93	 -7.15538798628
217.27	 -2.93518995416
217.61	 -0.55612450996
217.96	 0.233494191067
218.3	 -0.215688802524
218.65	 -1.49354577432
218.99	 -3.16698227063
219.34	 -4.81752140946
219.68	 -6.08473533598
220.03	 -6.7131479731
220.37	 -6.58947543839
220.72	 -5.75253155404
221.06	 -4.36694124727
221.41	 -2.66985386398
221.75	 -0.911658531516
222.09	 0.691824925618
222.44	 1.98889713001
222.78	 2.90360702413
223.13	 3.43166851718
223.47	 3.623429896
223.82	 3.55969578255
224.16	 3.32887265294
224.51	 3.01051319508
224.85	 2.66549318222
225.19	 2.33326065522
225.54	 2.03600816896
225.88	 1.78535629475
226.23	 1.58667432207
226.57	 1.44002520667
226.92	 1.33903586328
227.26	 1.26925760586
227.61	 1.20772854503
227.95	 1.12492210776
228.29	 0.98871756593
228.64	 0.769097459438
228.98	 0.442453521231
229.33	 -0.00530014142682
229.67	 -0.576910369782
230.02	 -1.2623600724
230.36	 -2.03711719096
230.7	 -2.8606089166
231.05	 -3.67610208141
231.39	 -4.41310411324
231.74	 -4.99331564884
232.08	 -5.34049987817
232.43	 -5.39356989885
232.77	 -5.12117111458
233.11	 -4.53348609445
233.46	 -3.68461099494
233.8	 -2.66266766454
234.15	 -1.57259880732
234.49	 -0.518767317858
234.84	 0.40909538436
235.18	 1.1455025773
235.52	 1.65379259935
235.87	 1.92603025166
236.21	 1.97962996676
236.56	 1.85214660338
236.9	 1.59501721871
237.25	 1.26661962691
237.59	 0.925213291293
237.93	 0.62249719766
238.28	 0.398247585346
238.62	 0.276479512478
238.97	 0.263923023724
239.31	 0.351386404155
239.65	 0.517630179221
240.0	 0.73452186531
240.34	 0.972180835831
240.69	 1.20325205633
241.03	 1.4056501865
241.37	 1.56352139934
241.72	 1.66713504104
242.06	 1.71273326785
242.41	 1.70247352661
242.75	 1.64383856565
243.09	 1.54824366944
243.44	 1.42925405138
243.78	 1.30084478717
244.13	 1.17582607526
244.47	 1.06451915378
244.81	 0.973761641059
245.16	 0.906314610541
245.5	 0.860985774289
245.85	 0.833725304328
246.19	 0.819355053894
246.53	 0.813274164602
246.88	 0.812735753568
247.22	 0.817534294436
247.57	 0.829911115412
247.91	 0.853461774555
248.25	 0.891140316694
248.6	 0.94305517566
248.94	 1.00510246579
249.29	 1.06911022755
249.63	 1.12436042143
249.97	 1.15978810442
250.32	 1.16600817027
250.66	 1.13644443493
251.0	 1.06737022841
251.35	 0.957420085626
251.69	 0.807329133108
252.04	 0.620239796148
252.38	 0.402439836776
252.72	 0.16398686651
253.07	 -0.0814670776319
253.41	 -0.317878596481
253.76	 -0.528586469154
254.1	 -0.697965417505
254.44	 -0.812628808696
254.79	 -0.862419903834
255.13	 -0.841706154555
255.47	 -0.751053380574
255.82	 -0.598436577005
256.16	 -0.398913524434
256.5	 -0.172656886283
256.85	 0.057762883782
257.19	 0.270029985954
257.54	 0.444586337116
257.88	 0.567043946599
258.22	 0.629926870725
258.57	 0.632990936714
258.91	 0.582108957251
259.25	 0.487354903597
259.6	 0.360910505118
259.94	 0.215113436522
260.28	 0.0609141025264
