Wavelength_nm	 Transmittance
209.34	 12.8043215514
209.69	 36.5379708419
210.03	 30.370103346
210.38	 49.4874631288
210.72	 75.7981683275
211.06	 105.062797549
211.41	 63.7136369671
211.75	 12.3286326988
212.1	 -3.55787738858
212.44	 12.365166289
212.79	 42.8106208151
213.13	 91.1992369231
213.48	 80.4709297997
213.82	 55.6446869116
214.17	 38.9889152744
214.51	 57.2645863513
214.86	 48.8159830352
215.2	 18.3274339049
215.55	 9.72587289104
215.89	 32.4529974449
216.24	 24.610303983
216.58	 27.0875546201
216.93	 7.43949596205
217.27	 -1.18186119912
217.61	 0.951879140138
217.96	 -5.72760816021
218.3	 12.792388774
218.65	 26.0111348137
218.99	 29.9794237232
219.34	 2.62215913426
219.68	 -36.5426571068
220.03	 -1.3991681233
220.37	 24.9986634408
220.72	 41.7063358199
221.06	 30.1300612481
221.41	 29.6875246911
221.75	 3.95529093449
222.09	 19.4751609563
222.44	 15.948894151
222.78	 37.0731187276
223.13	 12.2726526532
223.47	 13.4259611233
223.82	 7.83962150777
224.16	 4.57705476271
224.51	 7.94712271719
224.85	 3.70573143449
225.19	 18.8868557315
225.54	 12.7152861209
225.88	 12.0629839154
226.23	 5.61625716659
226.57	 -3.41812645525
226.92	 -2.15645949746
227.26	 -4.30378059892
227.61	 0.231392839293
227.95	 7.05280573145
228.29	 13.7465466818
228.64	 11.8884631856
228.98	 6.57253943979
229.33	 1.0005565484
229.67	 7.08561940304
230.02	 3.7084777569
230.36	 7.11289843679
230.7	 3.66410900408
231.05	 5.01124410977
231.39	 2.25236918681
231.74	 0.709769320031
232.08	 0.0850619412918
232.43	 -3.3336007481
232.77	 0.722551329796
233.11	 2.3040768143
233.46	 3.45040116701
233.8	 0.671769003691
234.15	 1.28775856028
234.49	 5.37983576432
234.84	 6.70778810631
235.18	 7.40118013779
235.52	 4.90716026336
235.87	 3.99468420692
236.21	 3.64308868551
236.56	 5.26565895871
236.9	 3.27184758497
237.25	 4.21387835544
237.59	 1.36079642853
237.93	 2.04648696774
238.28	 -0.982016146059
238.62	 0.0203134811611
238.97	 1.39086201569
239.31	 3.59474076963
239.65	 4.59176331188
240.0	 5.93394238385
240.34	 4.28149378493
240.69	 3.90608062822
241.03	 1.65168624302
241.37	 3.66272130523
241.72	 2.41267791303
242.06	 3.57976930715
242.41	 1.70467681961
242.75	 2.49129331968
243.09	 2.24975995052
243.44	 2.39729492499
243.78	 2.01445331972
244.13	 1.28821006432
244.47	 0.55722174629
244.81	 0.998619372818
245.16	 0.847196581661
245.5	 1.69707539673
245.85	 1.43957128966
246.19	 2.03743085033
246.53	 2.91868908847
246.88	 2.59369377332
247.22	 3.20438885294
247.57	 1.71661307932
247.91	 1.01833179358
248.25	 -0.686203622684
248.6	 0.0878804123414
248.94	 0.607166353518
249.29	 1.12724643491
249.63	 1.36136292753
249.97	 2.04573900934
250.32	 2.44875409915
250.66	 3.43550356463
251.0	 2.71218335682
251.35	 1.7546692707
251.69	 0.500826763591
252.04	 1.00312410311
252.38	 1.80115956455
252.72	 2.24358091499
253.07	 1.46354950235
253.41	 2.23308716336
253.76	 1.07049705886
254.1	 1.1840900544
254.44	 0.723870393733
254.79	 1.58010536905
255.13	 2.32924584529
255.47	 1.06680310277
255.82	 0.469761532449
256.16	 0.554094173818
256.5	 1.04650032564
256.85	 1.13362857297
257.19	 2.2506250694
257.54	 2.93921467528
257.88	 3.80692399366
258.22	 2.10347883783
258.57	 0.429290649327
258.91	 -0.0302223999231
259.25	 -0.762616072203
259.6	 0.294089087159
259.94	 0.0898139934641
260.28	 0.577027265975
260.63	 2.88471850327
260.97	 2.83520320215
261.32	 2.95874943752
261.66	 1.07232340973
262.0	 1.18730761734
262.35	 1.32533433206
262.69	 1.30442380715
263.03	 1.00848870565
263.38	 1.8394086188
263.72	 1.34131441461
264.06	 1.09117318785
264.41	 -0.371920537793
264.75	 0.938466831642
265.09	 1.39203563168
265.44	 1.94012964437
265.78	 0.559859106651
266.12	 0.932695500192
266.47	 0.56237934679
266.81	 0.533303602422
267.15	 1.29332190165
267.5	 1.39492745698
267.84	 1.82091625606
268.18	 0.655148323799
268.53	 1.02398447712
268.87	 0.732208942907
269.21	 0.696960450365
269.56	 0.342877025336
269.9	 0.809835936178
270.24	 0.752816373395
270.59	 1.09673261219
270.93	 1.73317700723
271.27	 2.67959532818
271.62	 3.03128341511
271.96	 1.37978863929
272.3	 -0.264789877509
272.65	 -0.0194450557478
272.99	 0.41096329777
273.33	 0.612713529873
273.68	 -0.409206225183
274.02	 -0.327501497386
274.36	 -0.374899798347
274.71	 -0.723719098962
275.05	 -0.885993751019
275.39	 0.433366101423
275.74	 1.46168953114
276.08	 1.69991522999
276.42	 1.71412727347
276.77	 1.8373432276
277.11	 3.06021471119
277.45	 2.31528680338
277.8	 1.80827836244
278.14	 1.05228414475
278.48	 1.46407954233
278.83	 1.59100373441
279.17	 1.15948753226
279.51	 1.09113815675
279.85	 1.46657334048
280.2	 1.27364694806
280.54	 0.752008902191
280.88	 0.623200433756
281.23	 0.85069158093
281.57	 1.23711158997
281.91	 1.68009262253
282.26	 2.45675624602
282.6	 2.09158346155
282.94	 2.1718838624
283.28	 0.997140397424
283.63	 0.833032181776
283.97	 0.412517745406
284.31	 0.959036327528
284.66	 0.7924289198
285.0	 0.761286645329
285.34	 0.10972466559
285.69	 0.312914755978
286.03	 0.0495302405998
286.37	 1.37067317109
286.71	 2.31808497966
